Cement (Kg/m³),Water (Kg/m³),W/C ,W/Binder,Sand (Kg/m³),Gravel (Kg/m³),Superplasticizer (kg/m³), GGBS Kg/m³,Age (days),C-S (Mpa)
186.2,185.7,1,0.6,764.3,1083.4,0,124.1,28,17.6
170.3,185.7,1.09,0.57,724.3,1026.6,0,155.5,7,10.73
272.8,185.7,0.68,0.41,714.3,1012.4,0,181.9,28,31.38
203.5,203.5,1,0.4,630,963.4,0,305.3,7,19.54
250.2,203.5,0.81,0.49,694.1,977.6,0,166.8,90,47.71
157,192,1.22,0.49,781.2,935.4,0,236,90,43.38
141.3,203.5,1.44,0.58,748.5,971.8,0,212,28,29.89
166.8,203.5,1.22,0.49,692.6,975.6,0,250.2,3,6.9
122.6,203.5,1.66,0.66,800.1,958.2,0,183.9,90,33.19
183.9,203.5,1.11,0.66,800,959.2,0,122.6,3,4.9
102,192,1.88,0.75,942,887,0,153,3,4.57
102,192,1.88,0.75,942,887,0,153,90,25.46
122.6,203.5,1.66,0.66,800.1,958.2,0,183.9,28,24.29
166.8,203.5,1.22,0.49,692.6,975.6,0,250.2,28,33.95
200,192,0.96,0.58,806.2,965.4,0,133,3,11.41
108.3,203.5,1.88,0.75,849,938.2,0,162.4,28,20.59
305.3,203.5,0.67,0.4,631,965.4,0,203.5,7,25.89
108.3,203.5,1.88,0.75,849,938.2,0,162.4,90,29.23
116,192,1.66,0.66,891.9,909.8,0,173,90,31.02
141.3,203.5,1.44,0.58,748.5,971.8,0,212,7,10.39
157,192,1.22,0.49,781.2,935.4,0,236,28,33.66
133,192,1.44,0.58,839.2,927.4,0,200,28,27.87
250.2,203.5,0.81,0.49,694.1,977.6,0,166.8,7,19.35
173,192,1.11,0.66,856.8,946.8,0,116,7,11.39
192,192,1,0.4,716.1,929.8,0,288,3,12.79
192,192,1,0.4,716.1,929.8,0,288,28,39.32
153,192,1.25,0.75,943.1,888,0,102,3,4.78
288,192,0.67,0.4,717.8,932,0,192,3,16.11
305.3,203.5,0.67,0.4,631,965.4,0,203.5,28,43.38
236,192,0.81,0.49,749.1,972.6,0,157,7,20.42
173,192,1.11,0.66,856.8,946.8,0,116,3,6.94
212,203.5,0.96,0.58,750,973.4,0,141.3,7,15.03
236,192,0.81,0.49,749.1,972.6,0,157,3,13.57
183.9,203.5,1.11,0.66,800,959.2,0,122.6,90,32.53
166.8,203.5,1.22,0.49,692.6,975.6,0,250.2,7,15.75
102,192,1.88,0.75,942,887,0,153,7,7.68
288,192,0.67,0.4,717.8,932,0,192,28,38.8
212,203.5,0.96,0.58,750,973.4,0,141.3,28,33
102,192,1.88,0.75,942,887,0,153,28,17.28
173,192,1.11,0.66,856.8,946.8,0,116,28,24.28
183.9,203.5,1.11,0.66,800,959.2,0,122.6,28,24.05
133,192,1.44,0.58,839.2,927.4,0,200,90,36.59
192,192,1,0.4,716.1,929.8,0,288,90,50.73
133,192,1.44,0.58,839.2,927.4,0,200,7,13.66
305.3,203.5,0.67,0.4,631,965.4,0,203.5,3,14.14
236,192,0.81,0.49,749.1,972.6,0,157,90,47.78
108.3,203.5,1.88,0.75,849,938.2,0,162.4,3,2.33
157,192,1.22,0.49,781.2,935.4,0,236,7,16.89
288,192,0.67,0.4,717.8,932,0,192,7,23.52
212,203.5,0.96,0.58,750,973.4,0,141.3,3,6.81
212,203.5,0.96,0.58,750,973.4,0,141.3,90,39.7
153,192,1.25,0.75,943.1,888,0,102,28,17.96
236,192,0.81,0.49,749.1,972.6,0,157,28,32.88
116,192,1.66,0.66,891.9,909.8,0,173,28,22.35
183.9,203.5,1.11,0.66,800,959.2,0,122.6,7,10.79
108.3,203.5,1.88,0.75,849,938.2,0,162.4,7,7.72
203.5,203.5,1,0.4,630,963.4,0,305.3,28,41.68
203.5,203.5,1,0.4,630,963.4,0,305.3,3,9.56
133,192,1.44,0.58,839.2,927.4,0,200,3,6.88
288,192,0.67,0.4,717.8,932,0,192,90,50.53
200,192,0.96,0.58,806.2,965.4,0,133,7,17.17
200,192,0.96,0.58,806.2,965.4,0,133,28,30.44
250.2,203.5,0.81,0.49,694.1,977.6,0,166.8,3,9.73
122.6,203.5,1.66,0.66,800.1,958.2,0,183.9,3,3.32
153,192,1.25,0.75,943.1,888,0,102,90,26.32
200,192,0.96,0.58,806.2,965.4,0,133,90,43.25
116,192,1.66,0.66,891.9,909.8,0,173,3,6.28
173,192,1.11,0.66,856.8,946.8,0,116,90,32.1
250.2,203.5,0.81,0.49,694.1,977.6,0,166.8,28,36.96
305.3,203.5,0.67,0.4,631,965.4,0,203.5,90,54.6
192,192,1,0.4,716.1,929.8,0,288,7,21.48
157,192,1.22,0.49,781.2,935.4,0,236,3,9.69
153,192,1.25,0.75,943.1,888,0,102,7,8.37
141.3,203.5,1.44,0.58,748.5,971.8,0,212,90,39.66
116,192,1.66,0.66,891.9,909.8,0,173,7,10.09
141.3,203.5,1.44,0.58,748.5,971.8,0,212,3,4.83
122.6,203.5,1.66,0.66,800.1,958.2,0,183.9,7,10.35
166.8,203.5,1.22,0.49,692.6,975.6,0,250.2,90,43.57
203.5,203.5,1,0.4,630,963.4,0,305.3,90,51.86
304,214,0.7,0.48,722,895,6,140,28,33.42
153,200,1.31,0.51,684,1002,6,239,28,26.86
310,168,0.54,0.37,804,914,10,143,28,45.3
321,190,0.59,0.39,774,870,5,164,28,57.21
366,191,0.52,0.35,757,824,7,187,28,65.91
156,180,1.15,0.45,698,1022,11,243,28,37.36
326,174,0.53,0.35,790,882,9,166,28,61.23
322,186,0.58,0.39,709,951,8,149,28,52.42
288,177,0.61,0.43,829,908,7,121,28,42.13
160,168,1.05,0.41,688,1049,12,250,28,39.45
166,183,1.1,0.43,827,859,13,260,28,37.91
159,176,1.11,0.51,789,990,11,187,28,32.76
155,193,1.25,0.57,697,1047,9,183,28,18.28
146,202,1.38,0.54,872,827,3,230,28,33.06
133,196,1.47,0.57,795,949,3,210,28,31.03
313,178,0.57,0.39,824,867,8,145,28,44.39
149,176,1.18,0.46,893,847,13,236,28,32.96
153,178,1.16,0.6,822,1000,8,145,28,19.01
313,178,0.57,0.38,759,917,10,161,28,52.44
284,168,0.59,0.42,794,970,7,120,28,40.93
150,174,1.16,0.45,675,1069,12,237,28,37.43
331,195,0.59,0.39,802,811,8,170,28,56.61
155,193,1.25,0.57,868,877,9,183,28,23.79
313,127,0.41,0.28,822,1000,8,145,28,44.52
146,182,1.25,0.57,817,986,3,173,28,23.74
313,178,0.57,0.39,689,1002,8,145,28,41.05
289,195,0.67,0.46,760,924,6,134,28,46.24
148,171,1.16,0.53,828,1000,2,175,28,26.92
154.8,193.3,1.25,0.57,696.7,1047.4,9.1,183.4,28,18.29
145.9,202.5,1.39,0.54,871.8,827,3.4,230.5,28,32.72
133.1,195.7,1.47,0.57,795.3,949.4,3.1,210.2,28,28.94
313.3,178.5,0.57,0.39,824,867.2,8,145,28,40.93
149.5,175.8,1.18,0.46,892.7,846.8,12.6,236,28,32.96
152.7,178.1,1.17,0.6,822.2,999.7,8,144.7,28,19.01
312.9,177.6,0.57,0.38,759.5,916.6,9.6,160.5,28,52.45
284,168.3,0.59,0.42,794.2,970.4,7.2,119.7,28,40.93
150,173.8,1.16,0.45,674.8,1069.3,11.9,236.8,28,37.43
330.5,194.9,0.59,0.39,802.3,811,8.1,169.6,28,56.62
154.8,193.3,1.25,0.57,867.7,877.2,9.1,183.4,28,23.79
312.7,127.3,0.41,0.28,822.2,999.7,8,144.7,28,44.52
145.7,181.9,1.25,0.57,816.8,985.8,3.4,172.6,28,23.74
313.3,178.5,0.57,0.39,688.7,1001.9,8,145,28,41.05
289,194.9,0.67,0.46,760.1,924.1,5.5,133.7,28,46.25
147.8,171.2,1.16,0.53,828.5,1000,2.2,175.1,28,26.92
303.6,213.5,0.7,0.48,722.5,895.5,6.2,139.9,28,33.42
152.6,200,1.31,0.51,683.9,1001.8,6.3,238.7,28,26.86
310,167.9,0.54,0.37,804,914.3,10,142.8,28,45.3
321.3,190.5,0.59,0.39,774,870,4.6,164.2,28,57.22
366,191.3,0.52,0.35,756.9,824.3,6.6,187,28,65.91
155.6,180.3,1.16,0.45,697.7,1022,10.7,243.5,28,37.36
325.6,174,0.53,0.35,790,881.6,8.9,166.4,28,61.24
322.5,185.8,0.58,0.39,709.5,951,8.5,148.6,28,52.43
288.4,177.4,0.62,0.43,829.5,907.9,7,121,28,42.14
159.8,168.4,1.05,0.41,688.2,1049.3,12.2,250,28,39.46
166,183.2,1.1,0.43,826.8,858.8,12.7,259.7,28,37.92
159.1,175.6,1.1,0.51,788.9,989.6,11.3,186.7,28,32.77
280,105,0.38,0.3,1154.25,870.75,11.55,70,3,58
210,105,0.5,0.3,1148.55,866.45,8.75,140,3,49.8
140,105,0.75,0.3,1145.7,864.3,7,210,3,36.8
70,105,1.5,0.3,1140,860,5.6,280,3,26.3
280,140,0.5,0.4,1100.1,829.9,4.2,70,3,45.8
210,140,0.67,0.4,1097.25,827.75,3.5,140,3,35.9
140,140,1,0.4,1091.55,823.45,1.75,210,3,26.9
70,140,2,0.4,1088.7,821.3,2.8,280,3,22.6
280,175,0.63,0.5,1048.8,791.2,0,70,3,21.3
210,175,0.83,0.5,1043.1,786.9,0,140,3,16.7
140,175,1.25,0.5,1040.25,784.75,0,210,3,13
70,175,2.5,0.5,1034.55,780.45,0,280,3,9
320,120,0.38,0.3,1105.8,834.2,14,80,3,49.1
240,120,0.5,0.3,1102.95,832.05,9.6,160,3,48.3
160,120,0.75,0.3,1097.25,827.75,6,240,3,31.9
80,120,1.5,0.3,1091.55,823.45,4.8,320,3,22
320,160,0.5,0.4,1045.95,789.05,4,80,3,39
240,160,0.67,0.4,1040.25,784.75,4,160,3,31.9
160,160,1,0.4,1037.4,782.6,2.4,240,3,27.3
80,160,2,0.4,1031.7,778.3,3.6,320,3,18.9
320,200,0.63,0.5,986.1,743.9,0,80,3,29.8
240,200,0.83,0.5,980.4,739.6,0,160,3,24.3
160,200,1.25,0.5,974.7,735.3,0,240,3,16.8
80,200,2.5,0.5,971.85,733.15,0,320,3,12.1
360,135,0.38,0.3,1060.2,799.8,14.4,90,3,51.4
270,135,0.5,0.3,1054.5,795.5,11.7,180,3,48.5
180,135,0.75,0.3,1048.8,791.2,9,270,3,32.3
90,135,1.5,0.3,1043.1,786.9,8.1,360,3,24.5
360,180,0.5,0.4,991.8,748.2,3.6,90,3,41
270,180,0.67,0.4,986.1,743.9,2.25,180,3,33.4
180,180,1,0.4,980.4,739.6,2.25,270,3,26
90,180,2,0.4,974.7,735.3,1.35,360,3,22.2
360,225,0.63,0.5,923.4,696.6,0,90,3,22.9
270,225,0.83,0.5,917.7,692.3,0,180,3,17.4
180,225,1.25,0.5,912,688,0,270,3,14.4
90,225,2.5,0.5,906.3,683.7,0,360,3,8.4
280,105,0.38,0.3,1154.25,870.75,11.55,70,7,72.1
210,105,0.5,0.3,1148.55,866.45,8.75,140,7,66.4
140,105,0.75,0.3,1145.7,864.3,7,210,7,63.2
70,105,1.5,0.3,1140,860,5.6,280,7,50.2
280,140,0.5,0.4,1100.1,829.9,4.2,70,7,60.3
210,140,0.67,0.4,1097.25,827.75,3.5,140,7,56.3
140,140,1,0.4,1091.55,823.45,1.75,210,7,38.6
70,140,2,0.4,1088.7,821.3,2.8,280,7,36.7
280,175,0.63,0.5,1048.8,791.2,0,70,7,33.2
210,175,0.83,0.5,1043.1,786.9,0,140,7,28.3
140,175,1.25,0.5,1040.25,784.75,0,210,7,20.8
70,175,2.5,0.5,1034.55,780.45,0,280,7,17.5
320,120,0.38,0.3,1105.8,834.2,14,80,7,68.3
240,120,0.5,0.3,1102.95,832.05,9.6,160,7,64.2
160,120,0.75,0.3,1097.25,827.75,6,240,7,57.3
80,120,1.5,0.3,1091.55,823.45,4.8,320,7,45.8
320,160,0.5,0.4,1045.95,789.05,4,80,7,50.9
240,160,0.67,0.4,1040.25,784.75,4,160,7,49.1
160,160,1,0.4,1037.4,782.6,2.4,240,7,46.9
80,160,2,0.4,1031.7,778.3,3.6,320,7,37.3
320,200,0.63,0.5,986.1,743.9,0,80,7,41.2
240,200,0.83,0.5,980.4,739.6,0,160,7,36.9
160,200,1.25,0.5,974.7,735.3,0,240,7,28.7
80,200,2.5,0.5,971.85,733.15,0,320,7,21.8
360,135,0.38,0.3,1060.2,799.8,14.4,90,7,69
270,135,0.5,0.3,1054.5,795.5,11.7,180,7,64.5
180,135,0.75,0.3,1048.8,791.2,9,270,7,58.3
90,135,1.5,0.3,1043.1,786.9,8.1,360,7,48.5
360,180,0.5,0.4,991.8,748.2,3.6,90,7,51.5
270,180,0.67,0.4,986.1,743.9,2.25,180,7,50.6
180,180,1,0.4,980.4,739.6,2.25,270,7,45.6
90,180,2,0.4,974.7,735.3,1.35,360,7,38.6
360,225,0.63,0.5,923.4,696.6,0,90,7,34.2
270,225,0.83,0.5,917.7,692.3,0,180,7,28.6
180,225,1.25,0.5,912,688,0,270,7,23.8
90,225,2.5,0.5,906.3,683.7,0,360,7,18.7
280,105,0.38,0.3,1154.25,870.75,11.55,70,28,81.8
210,105,0.5,0.3,1148.55,866.45,8.75,140,28,83.8
140,105,0.75,0.3,1145.7,864.3,7,210,28,80.6
70,105,1.5,0.3,1140,860,5.6,280,28,66.3
280,140,0.5,0.4,1100.1,829.9,4.2,70,28,73.5
210,140,0.67,0.4,1097.25,827.75,3.5,140,28,66.4
140,140,1,0.4,1091.55,823.45,1.75,210,28,61.8
70,140,2,0.4,1088.7,821.3,2.8,280,28,46.8
280,175,0.63,0.5,1048.8,791.2,0,70,28,50.4
210,175,0.83,0.5,1043.1,786.9,0,140,28,49.3
140,175,1.25,0.5,1040.25,784.75,0,210,28,39.5
70,175,2.5,0.5,1034.55,780.45,0,280,28,27.7
320,120,0.38,0.3,1105.8,834.2,14,80,28,81.4
240,120,0.5,0.3,1102.95,832.05,9.6,160,28,81
160,120,0.75,0.3,1097.25,827.75,6,240,28,73.3
80,120,1.5,0.3,1091.55,823.45,4.8,320,28,62.7
320,160,0.5,0.4,1045.95,789.05,4,80,28,65.8
240,160,0.67,0.4,1040.25,784.75,4,160,28,67.2
160,160,1,0.4,1037.4,782.6,2.4,240,28,61.8
80,160,2,0.4,1031.7,778.3,3.6,320,28,50.4
320,200,0.63,0.5,986.1,743.9,0,80,28,57
240,200,0.83,0.5,980.4,739.6,0,160,28,55.9
160,200,1.25,0.5,974.7,735.3,0,240,28,45.1
80,200,2.5,0.5,971.85,733.15,0,320,28,29.9
360,135,0.38,0.3,1060.2,799.8,14.4,90,28,81.4
270,135,0.5,0.3,1054.5,795.5,11.7,180,28,82
180,135,0.75,0.3,1048.8,791.2,9,270,28,77.8
90,135,1.5,0.3,1043.1,786.9,8.1,360,28,67.7
360,180,0.5,0.4,991.8,748.2,3.6,90,28,66
270,180,0.67,0.4,986.1,743.9,2.25,180,28,66.9
180,180,1,0.4,980.4,739.6,2.25,270,28,61.1
90,180,2,0.4,974.7,735.3,1.35,360,28,53.1
360,225,0.63,0.5,923.4,696.6,0,90,28,52.6
270,225,0.83,0.5,917.7,692.3,0,180,28,51.6
180,225,1.25,0.5,912,688,0,270,28,40.1
90,225,2.5,0.5,906.3,683.7,0,360,28,25.3
280,105,0.38,0.3,1154.25,870.75,11.55,70,90,90.1
210,105,0.5,0.3,1148.55,866.45,8.75,140,90,91.4
140,105,0.75,0.3,1145.7,864.3,7,210,90,92.5
70,105,1.5,0.3,1140,860,5.6,280,90,77.4
280,140,0.5,0.4,1100.1,829.9,4.2,70,90,82.3
210,140,0.67,0.4,1097.25,827.75,3.5,140,90,81
140,140,1,0.4,1091.55,823.45,1.75,210,90,73.4
70,140,2,0.4,1088.7,821.3,2.8,280,90,54.6
280,175,0.63,0.5,1048.8,791.2,0,70,90,56.2
210,175,0.83,0.5,1043.1,786.9,0,140,90,53.4
